Week,FemaleDeaths,MaleDeaths,Age.Group
Week 1,0,0,1
Week 2,0,0,1
Week 3,0,0,1
Week 4,0,0,1
Week 5,0,0,1
Week 6,0,0,1
Week 7,0,0,1
Week 1,0,0,2
Week 2,0,0,2
Week 3,0,0,2
Week 4,0,0,2
Week 5,1,1,2
Week 6,3,2,2
Week 7,4,3,2
Week 1,0,0,3
Week 2,0,0,3
Week 3,0,0,3
Week 4,2,0,3
Week 5,5,1,3
Week 6,10,6,3
Week 7,14,16,3
Week 1,0,0,4
Week 2,0,0,4
Week 3,0,0,4
Week 4,0,0,4
Week 5,7,13,4
Week 6,15,31,4
Week 7,29,51,4
Week 1,0,0,5
Week 2,0,0,5
Week 3,1,0,5
Week 4,7,3,5
Week 5,22,23,5
Week 6,62,80,5
Week 7,105,162,5
Week 1,0,0,6
Week 2,0,0,6
Week 3,0,1,6
Week 4,13,17,6
Week 5,51,87,6
Week 6,155,266,6
Week 7,301,536,6
Week 1,0,0,7
Week 2,0,0,7
Week 3,4,5,7
Week 4,24,32,7
Week 5,96,176,7
Week 6,292,603,7
Week 7,602,1209,7
Week 1,0,0,8
Week 2,1,0,8
Week 3,4,5,8
Week 4,33,57,8
Week 5,202,383,8
Week 6,659,1282,8
Week 7,1356,2561,8
Week 1,0,0,9
Week 2,0,1,9
Week 3,1,14,9
Week 4,73,99,9
Week 5,333,502,9
Week 6,1023,1625,9
Week 7,2204,3412,9
Week 1,0,0,10
Week 2,1,0,10
Week 3,3,5,10
Week 4,38,37,10
Week 5,162,176,10
Week 6,558,558,10
Week 7,1314,1184,10
